term,subject,course_number,instructor,gpa,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
202408,CS,1014,Cao,3.43,42.9,21.4,10.7,10.7,3.6,3.6,3.6,0,0,0,0,3.6,1
202408,CS,1014,Karpatne,3.45,48.6,10.8,8.1,18.9,8.1,0,2.7,0,0,0,0,2.7,0
202401,CS,1014,Mansur,3.18,26.5,29.4,2.9,11.8,8.8,11.8,0,0,5.9,0,0,2.9,0
202408,CS,1014,Emebo,3.18,30,20,12,14,4,10,2,0,0,2,4,2,2
202408,CS,1014,Hillman,3.24,38.9,14.8,14.8,5.6,1.9,11.1,3.7,1.9,1.9,1.9,3.7,0,1
202401,CS,1044,Liu,3.17,41.9,14,7,9.3,7,5.8,2.3,2.3,2.3,3.5,0,4.7,6
202508,CS,1054,Sullivan,2.48,16.7,8.3,11.1,11.1,11.1,8.3,11.1,0,5.6,0,2.8,13.9,3
202408,CS,1054,Nizamani,3.19,23.5,16.1,21,13.6,8.6,4.9,6.2,3.7,1.2,1.2,0,0,5
202508,CS,1064,Lewis,3.63,51.3,23.1,9,9.8,2.6,1.3,1.3,0,0.4,0,0.4,0.9,2
202508,CS,1064,Lewis,3.55,43.2,24.9,12.9,10,4.6,1.2,0.8,0.8,0,0,0,1.7,3
202508,CS,1064,Lewis,3.61,52.1,22.7,8.7,7.4,3.7,0.8,2.1,0.4,0.4,0,0.4,1.2,2
202401,CS,1064,Lewis,3.14,25.6,20.7,10.1,14.1,8.8,9.7,4,1.8,0.9,0.9,0.9,2.6,7
202408,CS,1064,Lewis,3.36,30.9,22,14.4,15.3,6.8,5.1,3,0.4,0,0,0.4,1.7,1
202401,CS,1064,Lewis,3.4,36.9,19.5,11.4,12.7,9.3,3.4,3.8,1.7,0,0.4,0.4,0.4,4
202408,CS,1064,Lewis,3.28,32.1,20.7,13.5,13.1,6.8,3.8,3.8,1.3,0.4,0.8,1.7,2.1,4
